run_id,ts_utc,tag,subset,pair,z_source,z_th,status,trades,Sharpe,CAGR,maxDD,totalRet
20251123_153510,2025-11-23T15:35:13.639704+00:00,,"BBCA.JK,BBRI.JK",BBCA.JK~BBRI.JK,mfpt,0.6,OK_HAS_TRADES,233,-14.608880807488505,-0.786709272525081,-0.7559078643760726,-4.3818215426578435
20260208_190013,2026-02-08T19:00:14.409411+00:00,,"ANTM.JK,INCO.JK",ANTM.JK~INCO.JK,mfpt,0.85,OK_NO_TRADES,0,0.0,0.0,0.0,0.0
20260208_190014,2026-02-08T19:00:18.122854+00:00,,"BMRI.JK,MBMA.JK",BMRI.JK~MBMA.JK,mfpt,0.85,OK_NO_TRADES,0,0.0,0.0,0.0,0.0
20260210_153150,2026-02-10T15:31:53.487025+00:00,antm_tlkm_manual,"ANTM.JK,TLKM.JK",ANTM.JK~TLKM.JK,mfpt,0.85,OK_HAS_TRADES,27,-4.151035885379485,-0.30969664411630804,-0.2635485622681225,-0.6682676693958838
20260210_153832_01,2026-02-10T15:38:33.385933+00:00,,"ANTM.JK,TLKM.JK",ANTM.JK~TLKM.JK,mfpt,0.85,OK_HAS_TRADES,27,-4.151035885379485,-0.30969664411630804,-0.2635485622681225,-0.6682676693958838
20260210_153902_01,2026-02-10T15:39:02.623246+00:00,,"ANTM.JK,TLKM.JK",ANTM.JK~TLKM.JK,mfpt,0.85,OK_HAS_TRADES,27,-4.151035885379485,-0.30969664411630804,-0.2635485622681225,-0.6682676693958838
20260210_154103_01,2026-02-10T15:41:06.009974+00:00,,"ANTM.JK,TLKM.JK",ANTM.JK~TLKM.JK,mfpt,0.85,OK_HAS_TRADES,27,-3.8594798136781265,-0.29974335913685934,-0.25479490769901114,-0.6559588325874457
20260210_154633_01,2026-02-10T15:46:33.693252+00:00,,"ANTM.JK,TLKM.JK",ANTM.JK~TLKM.JK,mfpt,0.5071466794485853,OK_HAS_TRADES,5,0.0,0.0,0.0,-0.10798915724861627
20260210_155024_01,2026-02-10T15:50:25.049819+00:00,,"ANTM.JK,TLKM.JK",ANTM.JK~TLKM.JK,mfpt,0.6806557148329586,OK_HAS_TRADES,12,-1.5914979256786759,-0.08461037026399587,-0.08677101527979114,-0.22482448491862328
